"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset","epochs","grad_clip","lr","model_key","model_name","n_folds","paradigm","patience","task","use_amp","weight_decay","convnext_variant","entropy_weight","num_heads","swin_variant","backbone","efficientnet_variant","entanglement","fusion_dim","n_layers","n_qubits","quantum_backbone","quantum_entanglement","quantum_n_layers","quantum_n_qubits","quantum_rotation_config","rotation_config","specificity_weight","vit_d_model","vit_num_heads","vit_num_layers","fold","optimizer/lr","epoch","train/accuracy","val/accuracy","train/loss","val/auc","val/balanced_accuracy","val/f1","val/fnr","val/loss","val/mcc","val/npv","val/ppv","val/sensitivity","val/specificity","accuracy","accuracy_std","auc_roc","auc_std","f1_score","f1_std","fnr","folds_completed","inference_ms","mcc","sensitivity","specificity","total_params","training_time_s"
"breakhis-TBCA-ViT-FeatureMap-Quantum","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_vit_featuremap_quantum","2026-03-30T09:46:39.000Z","24812","","8","breakhis","50","1","0.00001","triple_branch_fusion_vit_featuremap_quantum","TBCA-ViT-FeatureMap-Quantum","5","fusion_quantum","10","binary","true","0.0001","small","0.01","8","small","","b5","","768","","","","cyclic","2","8","u3","","","256","4","2","5","0.000007408768370508578","217","0.9956997654417512","0.9187853107344632","0.028539544208801008","0","0.8772155517438536","0.900940168080518","0.003144654088050314","NaN","0.8176374502774661","0.8946378174976481","0.8946378174976481","0.9968553459119496","0.7575757575757576","0.8608","0.0145","0.9108","0.0326","0.8537","0.0156","0.0758","5","89.51","0.7128","0.9242","0.7717","124506687","24808.5"
"breakhis-TBCA-CNN-FeatureMap-Quantum","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_cnn_featuremap_quantum","2026-03-30T04:09:33.000Z","20215","","10","breakhis","50","1","0.00001","triple_branch_fusion_cnn_featuremap_quantum","TBCA-CNN-FeatureMap-Quantum","5","fusion_quantum","10","binary","true","0.0001","small","0.01","8","small","","b5","","768","","","","cyclic","2","8","u3","","","","","","5","0.000006243449435824274","221","0.9974589523064894","0.9548022598870056","0.013603138189145774","0.9892035811847132","0.9357592093441148","0.9471768674968466","0.009433962264150945","0.4054398049575376","0.8970674109962135","0.945","0.945","0.9905660377358492","0.8809523809523809","0.8749","0.0153","0.921","0.0185","0.8691","0.0165","0.0716","5","78.12","0.7422","0.9284","0.7996","142467913","20212"
"breakhis-TBCA-Quantum-Bottleneck","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_bottleneck","2026-03-29T20:12:26.000Z","28619","","10","breakhis","50","1","0.00001","triple_branch_fusion_bottleneck","TBCA-Quantum-Bottleneck","5","fusion_quantum","10","binary","true","0.0001","small","0.01","8","small","","b5","","768","","","","cyclic","2","8","u3","","","","","","5","0.000007679133974894984","216","0.9949179046129788","0.9293785310734464","0.02882434956975521","0.972445705936272","0.8990307386533802","0.9159494271977208","0.013626834381551364","0.6460838402099912","0.8389172079512827","0.9153696498054474","0.9153696498054474","0.9863731656184488","0.8116883116883117","0.8556","0.038","0.9249","0.0341","0.8453","0.0439","0.0544","5","91.93","0.7045","0.9456","0.729","142208881","28616.1"
"breakhis-TBCA-Quantum-Fusion","finished","-","","breakhis, fusion_quantum, triple_branch_fusion_quantum","2026-03-29T15:37:49.000Z","16469","","10","breakhis","50","1","0.00001","triple_branch_fusion_quantum","TBCA-Quantum-Fusion","5","fusion_quantum","10","binary","true","0.0001","small","0.01","8","small","","b5","","768","","","","cyclic","2","8","u3","","","","","","5","0.000007679133974894984","216","0.9955043002345584","0.9103107344632768","0.021768714712722303","0.990109994826976","0.8642285387568407","0.8896253391821085","0.003144654088050314","0.7796448965013488","0.7987625976306616","0.8846511627906977","0.8846511627906977","0.9968553459119496","0.7316017316017316","0.8558","0.018","0.9072","0.0151","0.8477","0.022","0.0777","5","83.33","0.704","0.9223","0.7622","141808713","16463.6"
"breakhis-TripleBranch-Fusion","finished","-","","breakhis, fusion, triple_branch_fusion","2026-03-29T09:23:53.000Z","22426","","10","breakhis","50","1","0.00001","triple_branch_fusion","TripleBranch-Fusion","5","fusion","10","binary","true","0.0001","small","0.01","8","small","","b5","","768","","","","","","","","","","","","","5","0.0000028711035421746377","232","1","0.9300847457627118","0.000003265183433450965","0.9861326653779484","0.8984385635329032","0.9165081908142572","0.010482180293501049","0.728533496460058","0.8410793855214044","0.9138431752178122","0.9138431752178122","0.989517819706499","0.8073593073593074","0.8722","0.0505","0.9267","0.0236","0.8641","0.0587","0.0676","5","73.21","0.7376","0.9324","0.7874","141408545","22421.9"
"breakhis-MSQ-Fusion","finished","-","","breakhis, fusion_quantum, multi_scale_quantum_fusion","2026-03-29T07:49:20.000Z","5663","","16","breakhis","50","1","0.00002","multi_scale_quantum_fusion","MSQ-Fusion","5","fusion_quantum","10","binary","false","0.0001","","","","","resnet34","","","","2","8","","","","","","","","","","","5","0.00001684547105928689","213","0.9579749804534792","0.8608757062146892","0.14600766724175057","0.9469436049624728","0.8253083394592828","0.8360509093687462","0.07232704402515723","0.5222114167190328","0.6760255681863003","0.8736426456071076","0.8736426456071076","0.9276729559748428","0.7229437229437229","0.8167","0.0328","0.8705","0.0311","0.8035","0.0388","0.0862","5","39.99","0.6213","0.9138","0.6801","9119258","5660.7"
"breakhis-CB-QCCF-ConvEff","finished","-","","breakhis, cb_qccf_convnet_efficient, fusion_quantum","2026-03-29T07:49:01.000Z","18","","14","breakhis","50","1","0.00002","cb_qccf_convnet_efficient","CB-QCCF-ConvEff","5","fusion_quantum","10","binary","false","0.0001","","","","","","","cyclic","","2","8","","","","","","u3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"breakhis-CB-QCCF","finished","-","","breakhis, cb_qccf, fusion_quantum","2026-03-29T06:06:54.000Z","6121","","16","breakhis","50","1","0.00002","cb_qccf","CB-QCCF","5","fusion_quantum","10","binary","false","0.0001","","","","","swin_small","","cyclic","","2","8","resnet18","","","","","u3","2","","","","5","0.000013090169943749475","220","0.9980453479280688","0.9399717514124294","0.059515415526611","0.9630752720375364","0.909683084211386","0.9283151133253724","0.003144654088050314","3.450938222478031","0.8648158794462957","0.920619554695063","0.920619554695063","0.9968553459119496","0.8225108225108225","0.8527","0.0302","0.8981","0.0308","0.8436","0.0353","0.0725","5","37.28","0.6971","0.9275","0.7476","62911207","6118.4"
"breakhis-Quantum-Enhanced-Fusion","finished","-","","breakhis, fusion_quantum, quantum_enhanced_fusion","2026-03-29T02:58:39.000Z","11288","","16","breakhis","50","1","0.00002","quantum_enhanced_fusion","Quantum-Enhanced-Fusion","5","fusion_quantum","10","binary","false","0.0001","small","0.01","","small","","","cyclic","","2","8","","","","","","u3","","","","","5","0.0000031545289407131136","237","0.9996090695856138","0.9449152542372882","0.0032887507725058835","0.9814735404358044","0.9206076941925998","0.9350440379403794","0.009433962264150945","0.4083001309164568","0.8747226650723283","0.9319526627218936","0.9319526627218936","0.9905660377358492","0.8506493506493507","0.837","0.0477","0.8685","0.0589","0.8246","0.0557","0.0681","5","49.29","0.665","0.9319","0.7035","99609861","11285.2"
"breakhis-QENN-U3","finished","-","","breakhis, qenn_u3, quantum","2026-03-29T01:24:09.000Z","5664","","16","breakhis","50","1","0.00002","qenn_u3","QENN-U3","5","quantum","10","binary","false","0.0001","","","","","","","cyclic","","2","8","","","","","","u3","","","","","5","0.000006909830056250531","230","0.9747849882720876","0.9088983050847458","0.08353433445938138","0.9732772468621528","0.870994309673555","0.8903028945445112","0.019916142557651992","0.3984119562043461","0.7911290267645021","0.8947368421052632","0.8947368421052632","0.980083857442348","0.7619047619047619","0.8443","0.0512","0.9211","0.0265","0.831","0.065","0.0618","5","23.59","0.6821","0.9382","0.7122","11522754","5660.6"
"breakhis-DualBranch-Fusion","finished","-","","breakhis, dual_branch_fusion, fusion","2026-03-28T23:21:19.000Z","7367","","16","breakhis","50","1","0.00002","dual_branch_fusion","DualBranch-Fusion","5","fusion","10","binary","true","0.0001","small","0.01","","small","","","","","","","","","","","","","","","","","5","0.000010627905195293137","224","0.9974589523064894","0.9216101694915254","0.011163077031020924","0.9885830451868188","0.8809864140052819","0.9045251191340344","0.0020964360587002098","0.6674490126512819","0.824257279429436","0.8972667295004713","0.8972667295004713","0.9979035639412998","0.7640692640692641","0.8439","0.04","0.9006","0.0376","0.8357","0.0418","0.0892","5","46.03","0.6781","0.9108","0.7496","100595697","7363.7"
"breakhis-ConvNeXt-Small","finished","-","","breakhis, convnext_small, transformer","2026-03-28T22:36:55.000Z","2657","","32","breakhis","50","1","0.00002","convnext_small","ConvNeXt-Small","5","transformer","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.000010000000000000004","225","0.9996090695856138","0.9159604519774012","0.0016643679682630385","0.9836811511339814","0.8795842522257616","0.8989478229320028","0.015723270440251572","0.75789485358249","0.8080473070998746","0.900287631831256","0.900287631831256","0.9842767295597484","0.7748917748917749","0.8468","0.0273","0.9082","0.0386","0.8378","0.0319","0.0892","5","15.97","0.6886","0.9108","0.7566","49981794","2653.6"
"breakhis-Swin-Small","finished","-","","breakhis, swin_small, transformer","2026-03-28T21:55:34.000Z","2471","","32","breakhis","50","1","0.00002","swin_small","Swin-Small","5","transformer","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.0000163742398974869","214","0.9947224394057858","0.9300847457627118","0.017542296759894358","0.9862574532385854","0.8978804214653271","0.9163942609619812","0.009433962264150945","0.40541660676231495","0.8412887421489115","0.9130434782608696","0.9130434782608696","0.9905660377358492","0.8051948051948052","0.8629","0.031","0.9241","0.021","0.855","0.0362","0.0723","5","28.36","0.7184","0.9277","0.7717","49036172","2467.1"
"breakhis-CNN+ViT-Hybrid","finished","-","","breakhis, hybrid_vit, transformer","2026-03-28T20:45:43.000Z","4183","","32","breakhis","50","1","0.0001","hybrid_vit","CNN+ViT-Hybrid","5","transformer","10","binary","true","0.0001","","","4","","","","","","","","","","","","","","","","","","5","0.000053139525976465657","229","0.9945269741985928","0.932909604519774","0.020470267096192134","0.9712772377866716","0.91504669334858","0.9223113471519646","0.033542976939203356","0.3572225826608259","0.8457955165470986","0.936040609137056","0.936040609137056","0.9664570230607966","0.8636363636363636","0.87","0.0329","0.9298","0.0285","0.8625","0.0374","0.0651","5","21.27","0.734","0.9349","0.7787","12683306","4178.2"
"breakhis-EfficientNet-B5","finished","-","","breakhis, cnn, efficientnet_b5","2026-03-28T19:07:16.000Z","5904","","16","breakhis","50","1","0.0001","efficientnet_b5","EfficientNet-B5","5","cnn","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.000059369065729286224","222","0.9972634870992964","0.9322033898305084","0.007623276223979768","0.9789913964442268","0.8983364643742002","0.9185356358650314","0.0041928721174004195","0.5468535537773607","0.8472382889628355","0.9117082533589252","0.9117082533589252","0.9958071278825996","0.8008658008658008","0.8777","0.0273","0.9439","0.0181","0.8718","0.0305","0.0713","5","26.74","0.7476","0.9287","0.8059","28344882","5900.2"
"breakhis-EfficientNet-B3","finished","-","","breakhis, cnn, efficientnet","2026-03-28T18:08:10.000Z","3540","","32","breakhis","50","1","0.0001","efficientnet","EfficientNet-B3","5","cnn","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.00000475864737669903","243","0.9984362783424552","0.940677966101695","0.003398228963898938","0.9759409004692025","0.9157886139018214","0.9300474254742548","0.01257861635220126","5.385032279427442","0.8647005974464874","0.9289940828402368","0.9289940828402368","0.9874213836477987","0.8441558441558441","0.8633","0.0428","0.9249","0.0432","0.8555","0.0479","0.0715","5","20.09","0.7181","0.9285","0.7717","10699306","3534.2"
"breakhis-MSQ-Fusion","finished","-","","breakhis, fusion_quantum, multi_scale_quantum_fusion","2026-03-27T17:17:07.000Z","6940","","16","breakhis","50","1","0.00002","multi_scale_quantum_fusion","MSQ-Fusion","5","fusion_quantum","10","binary","false","0.0001","","","","","resnet34","","","","2","8","","","","","","","","","","","5","0.000011253332335643048","223","0.9784988272087568","0.9096045197740112","0.0829451131178219","0.9733464474030512","0.8793324076342944","0.8931270342940705","0.033542976939203356","0.4706795199649733","0.7912790970548627","0.9056974459724952","0.9056974459724952","0.9664570230607966","0.7922077922077922","0.837","0.0434","0.8787","0.0434","0.827","0.0484","0.0837","5","39.6","0.6626","0.9163","0.7255","9119258","6936.7"
"breakhis-QENN-U3","finished","-","","breakhis, qenn_u3, quantum","2026-03-27T15:45:06.000Z","5457","","16","breakhis","50","1","0.00002","qenn_u3","QENN-U3","5","quantum","10","binary","false","0.0001","","","","","","","cyclic","","2","8","","","","","","u3","","","","","5","0.000006909830056250531","230","0.9747849882720876","0.9088983050847458","0.08353433445938138","0.9732772468621528","0.870994309673555","0.8903028945445112","0.019916142557651992","0.3984119562043461","0.7911290267645021","0.8947368421052632","0.8947368421052632","0.980083857442348","0.7619047619047619","0.8443","0.0512","0.9211","0.0265","0.831","0.065","0.0618","5","22.76","0.6821","0.9382","0.7122","11522754","5453.1"
"breakhis-DualBranch-Fusion","finished","-","","breakhis, dual_branch_fusion, fusion","2026-03-27T13:54:53.000Z","6611","","16","breakhis","50","1","0.00002","dual_branch_fusion","DualBranch-Fusion","5","fusion","10","binary","true","0.0001","small","0.01","","small","","","","","","","","","","","","","","","","","5","0.00001684547105928689","213","0.9937451133698202","0.9103107344632768","0.03206641707595575","0.9754145225843338","0.869809959432601","0.8912354913218585","0.013626834381551364","0.6745701153567956","0.7956534368819044","0.8919431279620853","0.8919431279620853","0.9863731656184488","0.7532467532467533","0.8552","0.0212","0.9059","0.0193","0.8462","0.0256","0.0691","5","41.71","0.7029","0.9309","0.7486","100595697","6608.4"
"breakhis-ConvNeXt-Small","finished","-","","breakhis, convnext_small, transformer","2026-03-27T13:16:44.000Z","2283","","32","breakhis","50","1","0.00002","convnext_small","ConvNeXt-Small","5","transformer","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.000010000000000000004","225","0.9996090695856138","0.9159604519774012","0.0016643679682630385","0.9836811511339814","0.8795842522257616","0.8989478229320028","0.015723270440251572","0.75789485358249","0.8080473070998746","0.900287631831256","0.900287631831256","0.9842767295597484","0.7748917748917749","0.8468","0.0273","0.9082","0.0386","0.8378","0.0319","0.0892","5","14.58","0.6886","0.9108","0.7566","49981794","2280.5"
"breakhis-Swin-Small","finished","-","","breakhis, swin_small, transformer","2026-03-27T12:39:13.000Z","2248","","32","breakhis","50","1","0.00002","swin_small","Swin-Small","5","transformer","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.0000163742398974869","214","0.9947224394057858","0.9300847457627118","0.017542296759894358","0.9862574532385854","0.8978804214653271","0.9163942609619812","0.009433962264150945","0.40541660676231495","0.8412887421489115","0.9130434782608696","0.9130434782608696","0.9905660377358492","0.8051948051948052","0.8629","0.031","0.9241","0.021","0.855","0.0362","0.0723","5","26.61","0.7184","0.9277","0.7717","49036172","2244.4"
"breakhis-CNN+ViT-Hybrid","finished","-","","breakhis, hybrid_vit, transformer","2026-03-27T11:29:49.000Z","4159","","32","breakhis","50","1","0.0001","hybrid_vit","CNN+ViT-Hybrid","5","transformer","10","binary","true","0.0001","","","4","","","","","","","","","","","","","","","","","","5","0.000053139525976465657","229","0.9945269741985928","0.932909604519774","0.020470267096192134","0.9712772377866716","0.91504669334858","0.9223113471519646","0.033542976939203356","0.3572225826608259","0.8457955165470986","0.936040609137056","0.936040609137056","0.9664570230607966","0.8636363636363636","0.87","0.0329","0.9298","0.0285","0.8625","0.0374","0.0651","5","20.01","0.734","0.9349","0.7787","12683306","4156.7"
"breakhis-EfficientNet-B5","finished","-","","breakhis, cnn, efficientnet_b5","2026-03-27T09:46:10.000Z","6217","","16","breakhis","50","1","0.0001","efficientnet_b5","EfficientNet-B5","5","cnn","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.000059369065729286224","222","0.9972634870992964","0.9322033898305084","0.007623276223979768","0.9789913964442268","0.8983364643742002","0.9185356358650314","0.0041928721174004195","0.5468535537773607","0.8472382889628355","0.9117082533589252","0.9117082533589252","0.9958071278825996","0.8008658008658008","0.8777","0.0273","0.9439","0.0181","0.8718","0.0305","0.0713","5","28.66","0.7476","0.9287","0.8059","28344882","6207"
"breakhis-EfficientNet-B3","finished","-","","breakhis, cnn, efficientnet","2026-03-27T08:50:09.000Z","3358","","32","breakhis","50","1","0.0001","efficientnet","EfficientNet-B3","5","cnn","10","binary","true","0.0001","","","","","","","","","","","","","","","","","","","","","5","0.00000475864737669903","243","0.9984362783424552","0.940677966101695","0.003398228963898938","0.9759409004692025","0.9157886139018214","0.9300474254742548","0.01257861635220126","5.385032279427442","0.8647005974464874","0.9289940828402368","0.9289940828402368","0.9874213836477987","0.8441558441558441","0.8633","0.0428","0.9249","0.0432","0.8555","0.0479","0.0715","5","18.34","0.7181","0.9285","0.7717","10699306","3354.2"